STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/25/2020,51,"H,,S",,,44,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/26/2020,45,"H,,S",56,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/27/2020,47,"H,,S",60,",,S",34,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/28/2020,53,"H,,S",64,",,S",42,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/29/2020,51,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/30/2020,40,"H,,S",52,",,S",37,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,3/31/2020,48,"H,,S",62,",,S",38,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/1/2020,53,"H,,S",60,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/2/2020,51,"H,,S",59,",,S",43,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/3/2020,51,"H,,S",,,43,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/4/2020,53,"H,,S",69,",,S",36,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/5/2020,58,"H,,S",69,",,S",48,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/6/2020,58,"H,,S",67,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/7/2020,56,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/8/2020,58,"H,,S",70,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/9/2020,61,"H,,S",74,",,S",48,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/10/2020,62,"H,,S",76,",,S",48,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/11/2020,60,"H,,S",72,",,S",49,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/12/2020,58,"H,,S",69,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/13/2020,51,"H,,S",63,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/14/2020,60,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/15/2020,61,"H,,S",71,",,S",53,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/16/2020,61,"H,,S",,,54,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/17/2020,61,"H,,S",66,",,S",57,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/18/2020,59,"H,,S",72,",,S",,
